n,X,Y
660,1,3
661,1,3
662,1,3
663,1,3
664,1,3
665,1,3
666,1,3
667,1,3
668,1,3
669,1,3
670,1,3
671,1,3
672,1,3
673,1,3
674,1,3
675,1,3
676,1,3
677,1,3
678,1,3
679,1,3
680,1,3
681,1,3
682,1,3
683,1,3
684,1,3
685,1,3
686,1,3
687,1,3
688,1,3
689,1,3
690,1,3
691,1,3
692,1,3
693,1,3
694,1,3
695,1,3
696,1,3
697,1,3
698,1,3
699,1,3
700,1,3
701,1,3
702,1,3
703,1,3
704,1,3
705,1,3
706,1,3
707,1,3
708,1,3
709,1,3
710,1,3
711,1,3
712,1,3
713,1,3
714,1,3
715,1,3
716,1,3
717,1,3
718,1,3
719,1,3
720,1,3
721,1,3
722,1,3
723,1,3
724,1,3
725,1,3
726,1,3
727,1,3
728,1,3
729,1,3
730,1,3
731,1,3
732,1,3
733,1,3
734,1,3
735,1,3
736,1,3
737,1,3
738,1,3
739,1,3
740,1,3
741,1,3
742,1,3
743,1,3
744,1,3
745,1,3
746,1,3
747,1,3
748,1,3
749,1,3
750,1,3
751,1,4
752,1,4
753,1,4
754,1,4
755,1,4
756,1,4
757,1,4
758,1,4
759,1,4
760,1,4
761,1,4
762,1,4
763,1,4
764,1,4
765,1,4
766,1,4
767,1,4
768,1,4
769,1,4
770,1,4
771,1,4
772,1,4
773,1,4
774,1,4
775,1,4
776,1,4
777,1,4
778,1,4
779,1,4
780,1,4
781,1,4
782,1,4
783,1,4
784,1,4
785,1,4
786,1,4
787,1,4
788,1,4
789,1,4
790,1,4
791,1,4
792,1,4
793,1,4
794,1,4
795,1,4
796,1,4
797,1,4
798,1,4
799,1,4
800,1,4
801,1,5
802,1,5
803,1,5
804,1,5
805,1,5
806,1,5
807,1,5
808,1,5
809,1,5
810,1,5
811,1,5
812,1,5
813,1,5
814,1,5
815,1,5
816,1,5
817,1,5
818,1,5
819,1,5
820,1,5
821,1,5
822,1,5
823,1,5
824,1,5
825,1,5
826,1,5
827,1,5
828,1,5
829,1,5
830,1,5
831,1,5
832,1,5
833,1,5
834,1,5
835,1,5
836,1,5
837,1,5
838,1,5
839,1,5
840,1,5
841,1,5
842,1,5
843,1,5
844,1,5
845,1,5
846,1,5
847,1,5
848,1,5
849,1,5
850,1,5
851,2,1
852,2,1
853,2,1
854,2,1
855,2,1
856,2,2
857,2,2
858,2,2
859,2,2
860,2,2
861,2,2
862,2,2
863,2,2
864,2,2
865,2,2
866,2,2
867,2,2
868,2,2
869,2,2
870,2,2
871,2,2
872,2,2
873,2,2
874,2,2
875,2,2
876,2,2
877,2,2
878,2,2
879,2,2
880,2,2
881,2,2
882,2,2
883,2,2
884,2,2
885,2,2
886,2,2
887,2,2
888,2,2
889,2,2
890,2,2
891,2,2
892,2,2
893,2,2
894,2,2
895,2,2
896,2,2
897,2,2
898,2,2
899,2,2
900,2,2
901,2,2
902,2,2
903,2,2
904,2,2
905,2,2
906,2,2
907,2,2
908,2,2
909,2,2
910,2,2
911,2,2
912,2,2
913,2,2
914,2,2
915,2,2
916,2,2
917,2,2
918,2,2
919,2,2
920,2,2
921,2,2
922,2,2
923,2,2
924,2,2
925,2,2
926,2,2
927,2,2
928,2,2
929,2,2
930,2,2
931,2,2
932,2,2
933,2,2
934,2,2
935,2,2
936,2,2
937,2,2
938,2,2
939,2,2
940,2,2
941,2,3
942,2,3
943,2,3
944,2,3
945,2,3
946,2,3
947,2,3
948,2,3
949,2,3
950,2,3
951,3,2
952,3,2
953,3,2
954,3,2
955,3,2
956,3,2
957,3,2
958,3,2
959,3,2
960,3,2
961,3,4
962,3,4
963,3,4
964,3,4
965,3,4
966,3,4
967,3,4
968,3,4
969,3,4
970,3,4
971,3,4
972,3,4
973,3,4
974,3,4
975,3,4
976,3,4
977,3,4
978,3,4
979,3,4
980,3,4
981,3,4
982,3,4
983,3,4
984,3,4
985,3,4
986,3,4
987,3,4
988,3,4
989,3,4
990,3,4
991,3,4
992,3,4
993,3,4
994,3,4
995,3,4
996,3,4
997,3,4
998,3,4
999,3,4
1000,3,4
